Module,Finished,Upfront Cost,Depth (m),Width (m),Area (m^2),Position,Watts,Voltage,Amperage (120v),Amperage (240v),Resource page?,Summary?,Needs computer?,Maintenance (Docs and times),Requirements,
Basic Art,TRUE,695.75,6,3,18,Table or  Storage,0,0,0,None,None,,,FALSE,,Quiet
Computer Lab,FALSE,0,,,0,Table,0,0,None,None,,,TRUE,,,
Cosmetology,FALSE,0,,,0,,0,0,None,None,,,FALSE,,,
English Class,FALSE,0,3,3,9,Table or Storage,0,0,None,None,,,FALSE,,"Quiet, if Basic Art Module, no extra area is needed",
Music,FALSE,550,,,0,,0,0,None,None,,,FALSE,,Quiet,
Restaurant food,FALSE,0,,,0,,0,0,None,None,,,FALSE,,,
Street Food,FALSE,0,,,,,0,0,None,None,,,FALSE,,,
3D Printer,TRUE,220,1,1,1,Table or Shelf,350,360,2.916666667,1.458333333,,,TRUE,,,
Base Package,FALSE,0,,,,,0,0,None,None,,,FALSE,,,
Bike Repair,TRUE,143.64,3,4,12,Floor,0,0,None,None,,,FALSE,,,
Carpentry,TRUE,225,3,4,12,Table,60,0,None,None,,,FALSE,,,
Coding Class,TRUE,0,0,0,0,Table,0,0,None,None,,,TRUE,,,
Data recovery,TRUE,678,0,0,0,Storage,0,0,None,None,,,TRUE,,Electronics Repair,
Electronics Repair,FALSE,134,0,0,0,Table,700,120,5.833333333,2.916666667,,,FALSE,,,
Metal,FALSE,375,3,7,21,,0,0,None,None,,,FALSE,,Ventilation & its own room,
Plumbing,FALSE,227.43,3,5,15,Floor,0,0,None,None,,,FALSE,,,
Sewing,TRUE,398.78,2,2,4,Table,84,120,0.7,0.35,,,FALSE,,,
